timestamp,song_name,artist,valence,energy,hour
13-11-2025 16:22,Die With A Smile,Lady Gaga,0.54,0.59,16
13-11-2025 19:27,Young and Beautiful,Lana Del Rey,0.15,0.42,19
13-11-2025 19:32,Mi Gente,J Balvin,0.31,0.69,19
13-11-2025 19:37,august,Taylor Swift,0.4,0.62,19
14-11-2025 01:45,Magic Shop,BTS,0.28,0.66,1
14-11-2025 01:49,Love wins all,IU,0.32,0.45,1
14-11-2025 01:53,Into It,Chase Atlantic,0.29,0.57,1
14-11-2025 01:58,ONLY,LeeHi,0.15,0.3,1
14-11-2025 02:03,NO,Meghan Trainor,0.66,0.8,2
15-11-2025 12:49,Who,Jimin,0.84,0.76,12
15-11-2025 15:23,Mantra,JENNIE,0.84,0.73,15
15-11-2025 17:31,Shy (eh o),PENOMECO,0.91,0.66,17
15-11-2025 17:38,All The Stars,Kendrick Lamar,0.55,0.63,17
15-11-2025 17:43,All The Stars,Kendrick Lamar,0.55,0.63,17
15-11-2025 20:56,Brooklyn Baby,Lana Del Rey,0.09,0.66,20
15-11-2025 21:01,Chemtrails Over The Country Club,Lana Del Rey,0.43,0.28,21
15-11-2025 23:41,supenatural,Ariana Grande,0.52,0.71,23
15-11-2025 23:47,Die With A Smile,Lady Gaga,0.54,0.59,23
15-11-2025 23:53,Brooklyn Baby,Lana Del Rey,0.09,0.66,23
16-11-2025 01:54,We Don't Talk Anymore,Charlie Puth,0.35,0.56,1
16-11-2025 13:02,All The Stars,Kendrick Lamar,0.55,0.63,13
16-11-2025 16:57,lovely (with Khalid),Billie Eilish,0.12,0.3,16
16-11-2025 22:07,I Wanna Be Yours,Arctic Monkeys,0.48,0.42,22
16-11-2025 22:12,CHIHIRO,Billie Eilish,0.52,0.43,22
17-11-2025 02:17,Paper Hearts,Tori Kelly,0.24,0.23,2
17-11-2025 16:18,We Don't Talk Anymore,Charlie Puth,0.35,0.56,16
17-11-2025 16:23,Moonlight,Chase Atlantic,0.14,0.58,16
17-11-2025 16:28,Arson,J-Hope,0.27,0.8,16
17-11-2025 16:34,Dirty Work,Aespa,0.63,0.74,16
17-11-2025 16:37,Woman,Doja Cat,0.88,0.76,16
17-11-2025 16:42,Jhol - Acoustic,Maanu,0.52,0.26,16
17-11-2025 16:48,Promise,Jimin,0.74,0.18,16
17-11-2025 16:54,We Don't Talk Anymore,Charlie Puth,0.35,0.56,16
17-11-2025 16:58,Paper Hearts,Tori Kelly,0.24,0.23,16
17-11-2025 17:03,Can't Help Falling in Love,Elvis Presley,0.34,0.29,17
17-11-2025 17:09,Replay,SHINee,0.59,0.78,17
17-11-2025 17:13,All The Stars,Kendrick Lamar,0.55,0.63,17
17-11-2025 17:20,NO,Meghan Trainor,0.66,0.8,17
17-11-2025 17:23,Can't Help Falling in Love,Elvis Presley,0.34,0.29,17
17-11-2025 20:14,Young and Beautiful,Lana Del Rey,0.15,0.42,20
17-11-2025 20:18,Dirty Work,Aespa,0.63,0.74,20
17-11-2025 22:02,Enduko Emo,Alaap Raju,0.7,0.63,22
17-11-2025 22:09,Can't Help Falling in Love,Elvis Presley,0.34,0.29,22
17-11-2025 22:12,i wish i hated you,Ariana Grande,0.28,0.24,22
17-11-2025 22:15,Humsafar,Sachet-Parampara,0.53,0.77,22
18-11-2025 00:49,Love wins all,IU,0.32,0.45,0
18-11-2025 00:53,Moonlight,Chase Atlantic,0.14,0.58,0
18-11-2025 00:57,Swim,Chase Atlantic,0.08,0.54,0
18-11-2025 01:03,Gimme More,Britney Spears,0.38,0.84,1
18-11-2025 01:07,ONLY,LeeHi,0.15,0.3,1
18-11-2025 01:10,WILDFLOWER,Billie Eilish,0.13,0.25,1
18-11-2025 01:15,WILDFLOWER,Billie Eilish,0.13,0.25,1
18-11-2025 13:36,Swim,Chase Atlantic,0.08,0.54,13
18-11-2025 13:41,Harleys In Hawaii,Katy Perry,0.72,0.76,13
18-11-2025 19:58,i wish i hated you,Ariana Grande,0.28,0.24,19
18-11-2025 20:02,Dirty Work,Aespa,0.63,0.74,20
18-11-2025 20:07,i wish i hated you,Ariana Grande,0.28,0.24,20
18-11-2025 20:12,Friends,Chase Atlantic,0.08,0.61,20
18-11-2025 22:11,CHIHIRO,Billie Eilish,0.52,0.43,22
18-11-2025 22:15,Brooklyn Baby,Lana Del Rey,0.09,0.66,22
18-11-2025 22:22,Love wins all,IU,0.32,0.45,22
18-11-2025 22:26,Barbaad,The Rish,0.28,0.51,22
18-11-2025 22:30,Brooklyn Baby,Lana Del Rey,0.09,0.66,22
18-11-2025 22:34,Humsafar,Sachet-Parampara,0.53,0.77,22
19-11-2025 02:38,We Don't Talk Anymore,Charlie Puth,0.35,0.56,2
19-11-2025 15:33,Mantra,JENNIE,0.84,0.73,15
